,coordinates,count,lng,lat,max_dist
176,20.388116_44.836092,71900,20.388116,44.836092,65.59726592719659
177,-157.799589_21.3199435,71829,-157.799589,21.3199435,10.27051989130637
178,121.0627353_14.683012349999998,71659,121.0627353,14.683012349999998,3.3374222031853362
179,29.27302375_29.00036905,71636,29.27302375,29.00036905,185.2134453966611
180,-71.0887125_42.31366950000001,71426,-71.0887125,42.31366950000001,4.52104831372373
181,80.86755450000001_27.1397585,70880,80.86755450000001,27.1397585,30.75112881318984
182,-90.2242213_15.7724675,70670,-90.2242213,15.7724675,73.76386283397882
183,-97.28591349999999_32.7799665,70243,-97.2859135,32.7799665,12.684996531221206
184,-115.223125_36.232915,69846,-115.223125,36.232915,6.040301035192094
185,58.46416955_23.54915895,69414,58.46416955,23.54915895,197.38631110552032
186,-73.8494415_40.8503475,69403,-73.8494415,40.8503475,2.5449877075297374
187,29.12052925_40.202796000000006,69258,29.12052925,40.202796000000006,35.51104988228564
188,-85.7682405_37.822244000000005,69025,-85.7682405,37.822244000000005,27.581428299594993
189,123.8467219_10.37483245,68516,123.8467219,10.37483245,12.93830730990599
190,-96.7349005_33.0612424,68315,-96.7349005,33.0612424,14.465786163423727
191,-111.7375657_33.4057545,67795,-111.7375657,33.4057545,28.34065074251103
192,-40.3751671_-20.4273295,67466,-40.3751671,-20.4273295,0.0
193,-63.777970999999994_-32.25103,67445,-63.777971,-32.25103,110.35971104035481
194,17.26814_26.33263415,67426,17.26814,26.33263415,0.0
195,-87.9672925_43.05672225,67405,-87.9672925,43.05672225,4.882685113301245
196,11.5417535_48.154879,67357,11.5417535,48.154879,63.029139646832206
197,-92.9164995_18.0219595,66940,-92.9164995,18.0219595,143.7383717137072
198,-86.14292249999998_39.7795625,66808,-86.14292249999998,39.7795625,9.986194911789111
199,-97.1356375_32.70185,66803,-97.1356375,32.70185,6.584053261306943
200,73.8775605_26.6284155,65908,73.8775605,26.6284155,66.18990353137505
201,-1.4496120000000001_53.383164550000004,65820,-1.449612,53.38316455,14.83975669791821
202,-98.2456743_26.24069,65331,-98.2456743,26.24069,82.31859519441088
203,-85.7682405_37.822244,65122,-85.7682405,37.822244,16.413194123677467
204,-80.2333285_25.7823537,64989,-80.2333285,25.7823537,4.058921511201033
